name,ingredients,instructions,description
"Тыквенный хлеб из Даунтауна Мэн","1 банка тыквенного пюре, 4 яйца, 1 стакан растительного масла, 2/3 стакана воды, 3 стакана белого сахара, 3 1/2 стакана муки, 2 чайные ложки пищевой соды, 1 1/2 чайной ложки соли, 1 чайная ложка молотой корицы, 1 чайная ложка молотого мускатного ореха, 1/2 чайной ложки молотой гвоздики, 1/4 чайной ложки молотого имбиря","Разогрейте духовку до 175 градусов C. Смажьте и посыпьте мукой три формы для хлеба размером 7x3 дюйма. В большой миске смешайте тыквенное пюре яйца масло воду и сахар до однородности. В отдельной миске взбейте муку пищевую соду соль корицу мускатный орех гвоздику и имбирь. Добавьте сухие ингредиенты в тыквенную смесь перемешайте до однородности. Вылейте в подготовленные формы. Выпекайте около 50 минут в разогретой духовке. Хлеб готов когда зубочистка вставленная в центр выходит чистой.","ароматный тыквенный хлеб с пряностями"
"Лучшие большие толстые жевательные шоколадные печенья","2 стакана муки, 1/2 чайной ложки пищевой соды, 1/2 чайной ложки соли, 3/4 стакана несоленого сливочного масла растопленного, 1 стакан упакованного коричневого сахара, 1/2 стакана белого сахара, 1 столовая ложка ванильного экстракта, 1 яйцо, 1 яичный желток, 2 стакана полусладких шоколадных чипсов","Разогрейте духовку до 165 градусов C. Смажьте противни или застелите пергаментной бумагой. Просейте муку пищевую соду и соль; отложите. В средней миске взбейте растопленное масло коричневый и белый сахар до однородности. Добавьте ваниль яйцо и яичный желток взбейте до легкой и кремовой консистенции. Добавьте просеянные ингредиенты перемешайте до однородности. Вручную добавьте шоколадные чипсы. Выкладывайте тесто по 1/4 стакана на подготовленные противни. Печенья должны быть на расстоянии около 3 дюймов друг от друга. Выпекайте 15-17 минут в разогретой духовке или пока края не подрумянятся. Остудите на противнях несколько минут затем переложите на решетки для полного остывания.","большие и жевательные шоколадные печенья"
"Пюре из цветной капусты 'Картофель' от Эйми","1 фунт соцветий цветной капусты, 1/4 стакана картофельных хлопьев, 1/4 стакана обезжиренного молока, 2 столовые ложки маргарина, соль и молотый черный перец по вкусу, 1/4 стакана тертого обезжиренного сыра чеддер","Разогрейте духовку до 190 градусов C. Поставьте пароварку в кастрюлю и налейте воду до уровня ниже дна пароварки. Доведите воду до кипения. Добавьте цветную капусту накройте и готовьте на пару до мягкости около 20 минут. Переложите цветную капусту в большую миску. Добавьте картофельные хлопья молоко и маргарин; разомните картофелемялкой или вилкой до пышности. Приправьте солью и черным перцем. Выложите смесь в форму для запекания и посыпьте сыром чеддер. Выпекайте в разогретой духовке пока сыр не расплавится около 10 минут.","легкое и низкокалорийное пюре"
"Ирландское рагу из баранины","1 1/2 фунта толстонарезанного бекона нарезанного кубиками, 6 фунтов бараньей лопатки без костей нарезанной на 2-дюймовые куски, 1/2 чайной ложки соли, 1/2 чайной ложки молотого черного перца, 1/2 стакана муки, 3 зубчика чеснока измельченных, 1 большая луковица нарезанная, 1/2 стакана воды, 4 стакана говяжьего бульона, 2 чайные ложки белого сахара, 4 стакана нарезанной моркови, 2 большие луковицы нарезанные на кусочки, 3 картофелины, 1 чайная ложка сушеного тимьяна, 2 лавровых листа, 1 стакан белого вина","Обжарьте бекон в большой глубокой сковороде на среднем огне до равномерного подрумянивания. Слейте жир раскрошите и отложите. Положите баранину соль перец и муку в большую миску. Перемешайте чтобы равномерно покрыть мясо. Обжарьте мясо на сковороде с жиром от бекона. Положите мясо в кастрюлю (оставьте 1/4 стакана жира на сковороде). Добавьте чеснок и желтую луковицу и обжарьте пока луковица не начнет золотиться. Деглазируйте сковороду 1/2 стакана воды и добавьте смесь чеснока и лука в кастрюлю с беконом говяжьим бульоном и сахаром. Накройте и тушите 1 1/2 часа. Добавьте морковь лук картофель тимьян лавровые листья и вино в кастрюлю. Уменьшите огонь и тушите под крышкой 20 минут пока овощи не станут мягкими.","традиционное ирландское рагу с бараниной"
"Муффины с черникой от которых можно умереть","1 1/2 стакана муки, 3/4 стакана белого сахара, 1/2 чайной ложки соли, 2 чайные ложки разрыхлителя, 1/3 стакана растительного масла, 1 яйцо, 1/3 стакана молока, 1 стакан свежей черники, 1/2 стакана белого сахара, 1/3 стакана муки, 1/4 стакана сливочного масла нарезанного кубиками, 1 1/2 чайной ложки молотой корицы","Разогрейте духовку до 200 градусов C. Смажьте формы для муффинов или застелите бумажными вкладышами. Смешайте 1 1/2 стакана муки 3/4 стакана сахара соль и разрыхлитель. В 1-стаканную мерную чашку налейте растительное масло; добавьте яйцо и достаточное количество молока чтобы заполнить чашку. Смешайте с мучной смесью. Добавьте чернику. Наполните формы для муффинов до верха и посыпьте крошкой. Для крошки: смешайте 1/2 стакана сахара 1/3 стакана муки 1/4 стакана масла и 1 1/2 чайной ложки корицы. Перемешайте вилкой и посыпьте муффины перед выпечкой. Выпекайте 20-25 минут в разогретой духовке или до готовности.","сочные муффины с черникой и крошкой"
"Жареный тилапия с пармезаном","1/2 стакана сыра пармезан, 1/4 стакана сливочного масла размягченного, 3 столовые ложки майонеза, 2 столовые ложки свежего лимонного сока, 1/4 чайной ложки сушеного базилика, 1/4 чайной ложки молотого черного перца, 1/8 чайной ложки лукового порошка, 1/8 чайной ложки сельдереевой соли, 2 фунта филе тилапии","Разогрейте гриль в духовке. Смажьте противень для гриля или застелите алюминиевой фольгой. В небольшой миске смешайте пармезан масло майонез и лимонный сок. Приправьте базиликом перцем луковым порошком и сельдереевой солью. Хорошо перемешайте и отложите. Выложите филе в один слой на подготовленный противень. Жарьте в нескольких дюймах от источника тепла 2-3 минуты. Переверните филе и жарьте еще пару минут. Выньте филе из духовки и покройте смесью пармезана сверху. Жарьте еще 2 минуты или пока верх не подрумянится а рыба не будет легко распадаться вилкой. Будьте осторожны чтобы не пережарить рыбу.","быстрая и вкусная рыба с сыром"
"Наградные мягкие шоколадные печенья","4 1/2 стакана муки, 2 чайные ложки пищевой соды, 2 стакана сливочного масла размягченного, 1 1/2 стакана упакованного коричневого сахара, 1/2 стакана белого сахара, 2 упаковки мгновенного ванильного пудинга, 4 яйца, 2 чайные ложки ванильного экстракта, 4 стакана полусладких шоколадных чипсов, 2 стакана измельченных грецких орехов (по желанию)","Разогрейте духовку до 175 градусов C. Просейте муку и пищевую соду отложите. В большой миске взбейте масло коричневый и белый сахар. Добавьте пудинг до однородности. Добавьте яйца и ваниль. Влейте мучную смесь. Наконец добавьте шоколадные чипсы и орехи. Выкладывайте тесто округлыми ложками на несмазанные противни. Выпекайте 10-12 минут в разогретой духовке. Края должны быть золотисто-коричневыми.","мягкие и пышные шоколадные печенья"
"Лучшая в мире лазанья","1 фунт сладкой итальянской колбасы, 3/4 фунта нежирного говяжьего фарша, 1/2 стакана измельченного лука, 2 зубчика чеснока измельченных, 1 банка дробленых помидоров, 2 банки томатной пасты, 2 банки томатного соуса, 1/2 стакана воды, 2 столовые ложки белого сахара, 1 1/2 чайной ложки сушеных листьев базилика, 1/2 чайной ложки семян фенхеля, 1 чайная ложка итальянской приправы, 1 столовая ложка соли, 1/4 чайной ложки молотого черного перца, 4 столовые ложки нарезанной свежей петрушки, 12 листов лазаньи, 16 унций сыра рикотта, 1 яйцо, 1/2 чайной ложки соли, 3/4 фунта сыра моцарелла нарезанного, 3/4 стакана тертого сыра пармезан","В голландской печи обжарьте колбасу говяжий фарш лук и чеснок на среднем огне до подрумянивания. Добавьте дробленые помидоры томатную пасту томатный соус и воду. Приправьте сахаром базиликом семенами фенхеля итальянской приправой 1 столовой ложкой соли перцем и 2 столовыми ложками петрушки. Тушите под крышкой около 1 1/2 часов периодически помешивая. Доведите большую кастрюлю с подсоленной водой до кипения. Варите листы лазаньи 8-10 минут. Слейте воду промойте холодной водой. В миске смешайте рикотту с яйцом оставшейся петрушкой и 1/2 чайной ложки соли. Разогрейте духовку до 190 градусов C. Для сборки: выложите 1 1/2 стакана мясного соуса на дно формы для выпечки размером 9x13 дюймов. Выложите 6 листов лазаньи вдоль поверх мясного соуса. Намажьте половиной смеси рикотты. Сверху выложите треть сыра моцарелла. Выложите 1 1/2 стакана мясного соуса на моцареллу и посыпьте 1/4 стакана пармезана. Повторите слои а сверху выложите оставшуюся моцареллу и пармезан. Накройте фольгой: чтобы предотвратить прилипание смажьте фольгу кулинарным спреем или убедитесь что фольга не касается сыра. Выпекайте в разогретой духовке 25 минут. Снимите фольгу и выпекайте еще 25 минут. Остудите 15 минут перед подачей.","классическая итальянская лазанья с мясом"
"Лучшие брауни","1/2 стакана сливочного масла, 1 стакан белого сахара, 2 яйца, 1 чайная ложка ванильного экстракта, 1/3 стакана несладкого какао-порошка, 1/2 стакана муки, 1/4 чайной ложки соли, 1/4 чайной ложки разрыхлителя, Для глазури: 3 столовые ложки сливочного масла размягченного, 3 столовые ложки несладкого какао-порошка, 1 столовая ложка меда, 1 чайная ложка ванильного экстракта, 1 стакан сахарной пудры","Разогрейте духовку до 175 градусов C. Смажьте и посыпьте мукой форму размером 8 дюймов. В большой кастрюле растопите 1/2 стакана масла. Снимите с огня и добавьте сахар яйца и 1 чайную ложку ванили. Добавьте 1/3 стакана какао 1/2 стакана муки соль и разрыхлитель. Выложите тесто в подготовленную форму. Выпекайте в разогретой духовке 25-30 минут. Не пережарьте. Для глазури: смешайте 3 столовые ложки размягченного масла 3 столовые ложки какао мед 1 чайную ложку ванильного экстракта и 1 стакан сахарной пудры. Перемешайте до гладкости. Намажьте брауни пока они еще теплые.","шоколадные брауни с глазурью"
"Ирландский содовый хлеб","1/2 стакана белого сахара, 4 стакана муки, 2 чайные ложки разрыхлителя, 1 чайная ложка пищевой соды, 3/4 чайной ложки соли, 3 стакана изюма, 1 столовая ложка семян тмина, 2 яйца слегка взбитых, 1 1/4 стакана пахты, 1 стакан сметаны","Разогрейте духовку до 175 градусов C. Смажьте 9-дюймовую круглую чугунную сковороду или 9-дюймовую круглую форму для выпечки. В миске смешайте муку (оставьте 1 столовую ложку) сахар разрыхлитель пищевую соду соль изюм и тмин. В маленькой миске смешайте яйца пахту и сметану. Добавьте жидкую смесь в мучную смесь перемешайте до увлажнения. Замесите тесто в миске около 10-12 раз. Тесто будет липким. Выложите тесто в подготовленную сковороду и разровняйте. Сделайте надрез глубиной 4x3/4 дюйма в верхней части хлеба. Посыпьте оставшейся мукой. Выпекайте в разогретой духовке 65-75 минут. Остудите и выложите хлеб на решетку.","традиционный ирландский хлеб с изюмом"
"Вкусный суп с ветчиной и картофелем","3 1/2 стакана очищенного и нарезанного кубиками картофеля, 1/3 стакана нарезанного сельдерея, 1/3 стакана мелко нарезанного лука, 3/4 стакана нарезанной вареной ветчины, 3 1/4 стакана воды, 2 столовые ложки куриного бульона, 1/2 чайной ложки соли или по вкусу, 1 чайная ложка молотого белого или черного перца или по вкусу, 5 столовых ложек сливочного масла, 5 столовых ложек муки, 2 стакана молока","Смешайте картофель сельдерей лук ветчину и воду в кастрюле. Доведите до кипения затем варите на среднем огне до мягкости картофеля около 10-15 минут. Добавьте куриный бульон соль и перец. В отдельной кастрюле растопите масло на среднем огне. Всыпьте муку вилкой и готовьте постоянно помешивая до загустения около 1 минуты. Медленно влейте молоко не допуская образования комков пока не добавите все молоко. Продолжайте помешивать на среднем огне до загустения 4-5 минут. Влейте молочную смесь в кастрюлю и готовьте суп до прогрева. Подавайте немедленно.","теплый и сытный картофельный суп"
"Куриный пирог IX","1 фунт куриных грудок без кожи и костей нарезанных кубиками, 1 стакан нарезанной моркови, 1 стакан замороженного зеленого горошка, 1/2 стакана нарезанного сельдерея, 1/3 стакана сливочного масла, 1/3 стакана нарезанного лука, 1/3 стакана муки, 1/2 чайной ложки соли, 1/4 чайной ложки черного перца, 1/4 чайной ложки семян сельдерея, 1 3/4 стакана куриного бульона, 2/3 стакана молока, 2 неиспеченных коржа для пирога","Разогрейте духовку до 220 градусов C. В кастрюле смешайте курицу морковь горошек и сельдерей. Залейте водой и варите 15 минут. Снимите с огня слейте воду и отложите. В кастрюле на среднем огне обжарьте лук в масле до мягкости и прозрачности. Добавьте муку соль перец и семена сельдерея. Медленно влейте куриный бульон и молоко. Тушите на средне-низком огне до загустения. Снимите с огня и отложите. Выложите куриную смесь в нижний корж. Вылейте горячую жидкую смесь поверх. Накройте верхним коржом запечатайте края и срежьте излишки теста. Сделайте несколько маленьких надрезов в верхней части чтобы выходил пар. Выпекайте в разогретой духовке 30-35 минут или пока тесто не станет золотисто-коричневым а начинка не начнет пузыриться. Остудите 10 минут перед подачей.","классический куриный пирог с овощами"
"Пышные блины","3/4 стакана молока, 2 столовые ложки белого уксуса, 1 стакан муки, 2 столовые ложки белого сахара, 1 чайная ложка разрыхлителя, 1/2 чайной ложки пищевой соды, 1/2 чайной ложки соли, 1 яйцо, 2 столовые ложки сливочного масла растопленного","Смешайте молоко с уксусом в средней миске и отложите на 5 минут чтобы 'скислить'. Смешайте муку сахар разрыхлитель пищевую соду и соль в большой миске. Взбейте яйцо и масло в 'скисленное' молоко. Влейте мучную смесь в жидкие ингредиенты и взбейте до исчезновения комков. Разогрейте большую сковороду на среднем огне и смажьте кулинарным спреем. Вылейте по 1/4 стакана теста на сковороду и готовьте пока на поверхности не появятся пузырьки. Переверните лопаткой и готовьте до подрумянивания с другой стороны.","легкие и воздушные блины"
"Старомодные блины","1 1/2 стакана муки, 3 1/2 чайных ложки разрыхлителя, 1 чайная ложка соли, 1 столовая ложка белого сахара, 1 1/4 стакана молока, 1 яйцо, 3 столовые ложки сливочного масла растопленного","В большой миске просейте муку разрыхлитель соль и сахар. Сделайте углубление в центре и влейте молоко яйцо и растопленное масло; перемешайте до гладкости. Разогрейте слегка смазанную сковороду или сковороду на средне-высоком огне. Вылейте или выложите тесто на сковороду примерно по 1/4 стакана на каждый блин. Обжарьте с обеих сторон и подавайте горячим.","традиционные блины на завтрак"
"Банановые муффины с крошкой","1 1/2 стакана муки, 1 чайная ложка пищевой соды, 1 чайная ложка разрыхлителя, 1/2 чайной ложки соли, 3 банана размятых, 3/4 стакана белого сахара, 1 яйцо слегка взбитое, 1/3 стакана сливочного масла растопленного, 1/3 стакана упакованного коричневого сахара, 2 столовые ложки муки, 1/8 чайной ложки молотой корицы, 1 столовая ложка сливочного масла","Разогрейте духовку до 190 градусов C. Слегка смажьте 10 форм для муффинов или застелите бумажными вкладышами. В большой миске смешайте 1 1/2 стакана муки пищевую соду разрыхлитель и соль. В другой миске взбейте бананы сахар яйцо и растопленное масло. Добавьте банановую смесь в мучную смесь перемешайте до увлажнения. Выложите тесто в подготовленные формы для муффинов. В маленькой миске смешайте коричневый сахар 2 столовые ложки муки и корицу. Врежьте 1 столовую ложку масла до тех пор пока смесь не будет напоминать грубую кукурузную муку. Посыпьте муффины крошкой. Выпекайте в разогретой духовке 18-20 минут пока зубочистка вставленная в центр муффина не выйдет чистой.","влажные банановые муффины с крошкой"
"Брауни с ирландским кремом Бейлис","2 упаковки смеси для брауни, 1 стакан ирландского крема, 2/3 стакана растительного масла, 2 яйца, 1 стакан несоленого сливочного масла размягченного, 5 столовых ложек ирландского крема, 4 стакана сахарной пудры","Разогрейте духовку до 175 градусов C. Смажьте дно формы для желе размером 10 1/2x15 1/2 дюйма. Положите смесь для брауни в большую миску; добавьте 1 стакан ирландского крема растительное масло и яйца до образования гладкого теста. Выложите тесто в подготовленную форму. Выпекайте в разогретой духовке до тех пор пока брауни не застынут а зубочистка вставленная в центр не выйдет чистой около 20 минут. Дайте остыть полностью. Взбейте несоленое масло в большой миске до гладкости; добавьте 5 столовых ложек ирландского крема до кремообразного состояния. Медленно добавляйте сахарную пудру по 1 стакану за раз до желаемой густоты; намажьте на брауни для подачи.","шоколадные брауни с ирландским кремом"
"Яблочный пирог от бабушки Опл","1 рецепт теста для 9-дюймового пирога с двойной корочкой, 1/2 стакана несоленого сливочного масла, 3 столовые ложки муки, 1/4 стакана воды, 1/2 стакана белого сахара, 1/2 стакана упакованного коричневого сахара, 8 яблок Гренни Смит очищенных без сердцевины и нарезанных","Разогрейте духовку до 220 градусов C. Растопите масло в кастрюле. Добавьте муку чтобы образовалась паста. Добавьте воду белый и коричневый сахар доведите до кипения. Уменьшите температуру и дайте покипеть. Выложите нижний корж в форму. Наполните яблоками слегка горкой. Накройте решетчатым коржом. Медленно вылейте смесь сахара и масла на корж чтобы не стекало. Выпекайте 15 минут в разогретой духовке. Уменьшите температуру до 175 градусов C. Продолжайте выпекать 35-45 минут пока яблоки не станут мягкими.","классический яблочный пирог с карамелью"
"Легкий ирландский кольканнон","2 фунта картофеля очищенного и нарезанного кубиками, 1 кочан капусты нарезанный, 1 пучок зеленого лука нарезанного, 1/4 стакана сливочного масла размягченного, 1/2 стакана сливок, соль и черный перец по вкусу","Положите картофель капусту и зеленый лук в большую кастрюлю залейте водой и доведите до кипения. Уменьшите огонь накройте и тушите до тех пор пока картофель не станет мягким около 20 минут. Слейте воду и переложите овощи в большую миску. Разомните картофель и овощи с маслом вилкой до крупной консистенции постепенно вливая сливки. Приправьте солью и перцем и подавайте.","традиционное ирландское пюре с капустой"
"Курица с бальзамическим кленом от Энджи","2 столовые ложки кленового сиропа, 1 столовая ложка бальзамического уксуса, 1/4 чайной ложки чесночного порошка, 2 щепотки кайенского перца, 1 щепотка молотого белого перца, 1 щепотка молотого мускатного ореха, 1 щепотка молотого сушеного перца чипотле, 3 куриных грудки без кожи и костей, 1 столовая ложка оливкового масла","Взбейте кленовый сироп бальзамический уксус чесночный порошок кайенский перец белый перец мускатный орех и перец чипотле в маленькой миске до однородности. Покройте курицу со всех сторон. Разогрейте оливковое масло в большой сковороде на средне-высоком огне. Обжарьте курицу в горячем масле до тех пор пока она не перестанет быть розовой в центре а соки не станут прозрачными 5-10 минут с каждой стороны. Термометр вставленный в центр должен показывать не менее 74 градусов C.","сладкая и острая курица с кленом"
"Пикантный барбекю из курицы в медленноварке","6 замороженных куриных грудок без кожи и костей, 1 бутылка соуса барбекю, 1/2 стакана итальянской заправки для салата, 1/4 стакана коричневого сахара, 2 столовые ложки вустерширского соуса","Положите курицу в медленноварку. В миске смешайте соус барбекю итальянскую заправку коричневый сахар и вустерширский соус. Вылейте на курицу. Накройте и готовьте 3-4 часа на высокой или 6-8 часов на низкой температуре.","простой барбекю из курицы"
